id,n_images,image_sizes,n_image_tokens,n_prompt_tokens
validation_Art_Theory_9,1,640x1600,1000,1061
validation_Art_Theory_10,1,1248x832,1014,1092
validation_Art_Theory_11,2,1216x864 1216x832,2014,2077
validation_Art_Theory_12,1,1024x1344,1344,1416
validation_Art_Theory_13,1,704x1440,990,1058
validation_Art_Theory_14,1,800x1280,1000,1057
validation_Art_Theory_15,1,1152x928,1044,1106
validation_Art_Theory_16,2,1216x864 1216x832,2014,2081
validation_Art_Theory_17,1,1344x768,1008,1086
validation_Art_Theory_18,1,800x1408,1100,1201
validation_Art_Theory_19,1,928x1120,1015,1068
validation_Art_Theory_20,1,1376x960,1290,1351
validation_Art_Theory_21,1,1184x896,1036,1100
validation_Art_Theory_22,1,896x1152,1008,1066
validation_Art_Theory_23,1,768x1344,1008,1082
validation_Art_Theory_24,1,832x1248,1014,1092
validation_Art_Theory_25,1,1120x928,1015,1077
validation_Art_Theory_26,1,928x1120,1015,1069
validation_Art_Theory_27,2,1184x864 896x1152,2007,2076
validation_Art_Theory_28,1,1152x1440,1620,1686
validation_Art_Theory_29,1,1280x800,1000,1057
validation_Art_Theory_30,1,1152x896,1008,1078
validation_Basic_Medical_Science_1,1,1312x800,1025,1106
validation_Basic_Medical_Science_2,1,1440x704,990,1045
validation_Basic_Medical_Science_3,1,1248x832,1014,1133
validation_Basic_Medical_Science_4,1,864x1184,999,1096
validation_Basic_Medical_Science_5,1,896x1152,1008,1071
validation_Basic_Medical_Science_6,1,960x1344,1260,1400
validation_Basic_Medical_Science_7,1,1792x576,1008,1173
validation_Basic_Medical_Science_8,1,1152x896,1008,1089
validation_Basic_Medical_Science_9,1,1152x896,1008,1061
validation_Basic_Medical_Science_10,1,1504x704,1034,1059
validation_Basic_Medical_Science_11,1,1184x896,1036,1094
validation_Basic_Medical_Science_12,1,992x1024,992,1067
validation_Basic_Medical_Science_13,1,1152x896,1008,1073
validation_Basic_Medical_Science_14,1,1536x672,1008,1033
validation_Basic_Medical_Science_15,1,1152x896,1008,1075
validation_Basic_Medical_Science_16,1,1152x896,1008,1067
validation_Basic_Medical_Science_17,1,1280x800,1000,1055
validation_Basic_Medical_Science_18,1,1184x896,1036,1098
validation_Basic_Medical_Science_19,1,1152x896,1008,1069
validation_Basic_Medical_Science_20,1,864x1184,999,1062
validation_Basic_Medical_Science_21,1,1152x896,1008,1072
validation_Basic_Medical_Science_22,1,1408x736,1012,1065
validation_Basic_Medical_Science_23,1,1152x896,1008,1075
validation_Basic_Medical_Science_24,1,992x1024,992,1109
validation_Basic_Medical_Science_25,1,1152x896,1008,1083
validation_Basic_Medical_Science_26,1,960x1056,990,1038
validation_Basic_Medical_Science_27,1,1152x896,1008,1076
validation_Basic_Medical_Science_28,1,1152x896,1008,1085
validation_Basic_Medical_Science_29,1,1024x992,992,1208
validation_Basic_Medical_Science_30,1,1152x896,1008,1087
validation_Biology_1,1,1152x928,1044,1117
validation_Biology_2,1,1568x672,1029,1103
validation_Biology_3,1,1376x736,989,1051
validation_Biology_4,1,1792x576,1008,1083
validation_Biology_5,1,992x1056,1023,1082
validation_Biology_6,1,1440x704,990,1067
validation_Biology_7,1,1248x832,1014,1090
validation_Biology_8,1,1120x928,1015,1201
validation_Biology_9,1,1344x1216,1596,1739
