id,n_images,image_sizes,n_image_tokens,n_prompt_tokens
validation_Literature_12,1,1120x928,1015,1078
validation_Literature_13,1,832x1248,1014,1090
validation_Literature_14,1,1248x832,1014,1091
validation_Literature_15,1,1184x896,1036,1125
validation_Literature_16,1,1216x864,1026,1114
validation_Literature_17,1,1088x928,986,1091
validation_Literature_18,1,832x1248,1014,1096
validation_Literature_19,1,1280x832,1040,1108
validation_Literature_20,1,864x1216,1026,1108
validation_Literature_21,1,1088x1088,1156,1230
validation_Literature_22,1,1024x992,992,1060
validation_Literature_23,1,864x1216,1026,1090
validation_Literature_24,1,1088x960,1020,1089
validation_Literature_25,1,1216x864,1026,1108
validation_Literature_26,1,1056x992,1023,1094
validation_Literature_27,1,1184x896,1036,1110
validation_Literature_28,1,2336x1696,3869,3962
validation_Literature_29,1,1280x800,1000,1065
validation_Literature_30,1,1248x832,1014,1085
validation_Manage_1,1,992x1056,1023,1136
validation_Manage_2,1,1184x864,999,1074
validation_Manage_3,1,2112x512,1056,1284
validation_Manage_4,1,2752x384,1032,1184
validation_Manage_5,1,1088x960,1020,1162
validation_Manage_6,1,1152x896,1008,1082
validation_Manage_7,1,1184x864,999,1087
validation_Manage_8,1,1184x864,999,1099
validation_Manage_9,1,1024x1152,1152,1290
validation_Manage_10,1,1216x864,1026,1124
validation_Manage_11,1,1312x800,1025,1100
validation_Manage_12,1,1280x800,1000,1441
validation_Manage_13,1,2144x480,1005,1220
validation_Manage_14,1,1088x960,1020,1180
validation_Manage_15,1,1248x832,1014,1098
validation_Manage_16,1,1376x768,1032,1477
validation_Manage_17,1,1984x544,1054,1131
validation_Manage_18,1,1248x832,1014,1121
validation_Manage_19,1,1024x1024,1024,1138
validation_Manage_20,2,1856x576 1952x544,2081,2214
validation_Manage_21,1,1696x608,1007,1045
validation_Manage_22,1,1088x960,1020,1139
validation_Manage_23,1,1504x672,987,1024
validation_Manage_24,1,1184x864,999,1113
validation_Manage_25,1,1536x672,1008,1092
validation_Manage_26,1,1408x736,1012,1214
validation_Manage_27,1,864x1216,1026,1134
validation_Manage_28,1,1184x864,999,1072
validation_Manage_29,1,1280x800,1000,1456
validation_Manage_30,1,1216x864,1026,1200
validation_Marketing_1,1,1728x608,1026,1142
validation_Marketing_2,1,1696x608,1007,1101
validation_Marketing_3,1,1824x576,1026,1216
validation_Marketing_4,1,1344x768,1008,1067
validation_Marketing_5,1,1632x640,1020,1119
validation_Marketing_6,1,1344x768,1008,1132
validation_Marketing_7,1,1856x576,1044,1201
validation_Marketing_8,1,1344x768,1008,1076
validation_Marketing_9,1,2048x512,1024,1132
validation_Marketing_10,1,1600x640,1000,1126
validation_Marketing_11,1,1600x640,1000,1096
validation_Marketing_12,1,1344x768,1008,1125
validation_Marketing_13,1,1664x640,1040,1153
validation_Marketing_14,1,1056x960,990,1139
validation_Marketing_15,1,1984x512,992,1147
validation_Marketing_16,1,1728x608,1026,1138
validation_Marketing_17,1,1440x704,990,1130
validation_Marketing_18,1,1344x768,1008,1123
validation_Marketing_19,1,2016x512,1008,1152
validation_Marketing_20,1,1376x768,1032,1186
validation_Marketing_21,1,1728x608,1026,1119
validation_Marketing_22,1,2208x480,1035,1178
validation_Marketing_23,1,1408x736,1012,1148
validation_Marketing_24,1,1440x704,990,1106
validation_Marketing_25,1,2688x384,1008,1180
validation_Marketing_26,1,2048x512,1024,1115
validation_Marketing_27,1,1376x768,1032,1197
validation_Marketing_28,1,1344x768,1008,1078
validation_Marketing_29,1,1728x608,1026,1152
validation_Marketing_30,1,1472x704,1012,1083
validation_Materials_1,1,1120x928,1015,1082
validation_Materials_2,1,1920x544,1020,1145
validation_Materials_3,1,1280x800,1000,1094
validation_Materials_4,1,1056x960,990,1075
validation_Materials_5,1,992x1056,1023,1153
validation_Materials_6,1,1024x992,992,1093
validation_Materials_7,1,928x1088,986,1138
validation_Materials_8,1,2496x416,1014,1120
validation_Materials_9,1,1504x704,1034,1143
validation_Materials_10,4,1056x960 1088x960 1024x992 1088x960,4022,4124
validation_Materials_11,1,1120x928,1015,1115
validation_Materials_12,1,1408x736,1012,1147
validation_Materials_13,1,1184x864,999,1123
validation_Materials_14,1,1280x800,1000,1093
validation_Materials_15,2,1088x960 1280x800,2020,2147
validation_Materials_16,1,960x1056,990,1106
validation_Materials_17,1,1152x896,1008,1150
validation_Materials_18,1,928x1120,1015,1190
validation_Materials_19,1,1152x896,1008,1123
validation_Materials_20,1,960x1056,990,1111
validation_Materials_21,1,1536x672,1008,1174
validation_Materials_22,1,1184x864,999,1118
validation_Materials_23,1,1056x992,1023,1144
validation_Materials_24,1,1184x864,999,1118
validation_Materials_25,1,2624x416,1066,1172
validation_Materials_26,1,1440x736,1035,1159
validation_Materials_27,1,576x1760,990,1085
validation_Materials_28,4,1152x896 1248x832 1184x896 1248x832,4072,4187
validation_Materials_29,1,2368x448,1036,1114
validation_Materials_30,1,928x1120,1015,1135
validation_Math_1,1,1216x832,988,1074
validation_Math_2,1,1600x640,1000,1108
validation_Math_3,3,1024x1024 1024x1024 1024x1024,3072,3131
validation_Math_4,1,960x1088,1020,1098
validation_Math_5,1,1024x1024,1024,1165
validation_Math_6,1,1056x992,1023,1143
validation_Math_7,1,1504x1216,1786,1934
validation_Math_8,1,1344x768,1008,1309
validation_Math_9,1,992x1024,992,1033
validation_Math_10,1,1312x800,1025,1100
validation_Math_11,1,1216x864,1026,1094
validation_Math_12,1,1696x608,1007,1195
validation_Math_13,1,1024x992,992,1129
validation_Math_14,1,1440x736,1035,1161
validation_Math_15,1,1376x768,1032,1109
validation_Math_16,1,1280x800,1000,1124
validation_Math_17,1,1216x864,1026,1188
validation_Math_18,1,1024x1024,1024,1087
validation_Math_19,2,1344x768 1280x800,2008,2281
validation_Math_20,1,1696x608,1007,1178
validation_Math_21,1,1408x736,1012,1152
validation_Math_22,1,1376x736,989,1196
validation_Math_23,1,1408x736,1012,1143
validation_Math_24,1,1152x896,1008,1110
validation_Math_25,1,928x1120,1015,1254
validation_Math_26,1,1184x864,999,1136
validation_Math_27,1,1024x992,992,1109
validation_Math_28,1,928x1120,1015,1058
validation_Math_29,1,1696x608,1007,1131
validation_Math_30,1,1056x992,1023,1172
validation_Mechanical_Engineering_1,1,1280x800,1000,1060
validation_Mechanical_Engineering_2,1,1984x544,1054,1109
validation_Mechanical_Engineering_3,1,1472x704,1012,1070
validation_Mechanical_Engineering_4,1,1344x768,1008,1202
validation_Mechanical_Engineering_5,1,1536x672,1008,1078
validation_Mechanical_Engineering_6,1,1600x640,1000,1244
validation_Mechanical_Engineering_7,1,1088x960,1020,1193
validation_Mechanical_Engineering_8,1,1472x704,1012,1129
validation_Mechanical_Engineering_9,1,1632x640,1020,1160
validation_Mechanical_Engineering_10,1,1568x672,1029,1150
validation_Mechanical_Engineering_11,1,1728x608,1026,1145
validation_Mechanical_Engineering_12,1,1504x704,1034,1084
validation_Mechanical_Engineering_13,1,1696x608,1007,1057
validation_Mechanical_Engineering_14,1,928x1088,986,1198
validation_Mechanical_Engineering_15,1,1536x672,1008,1058
validation_Mechanical_Engineering_16,1,864x1184,999,1110
validation_Mechanical_Engineering_17,1,1184x864,999,1061
validation_Mechanical_Engineering_18,1,1088x960,1020,1242
validation_Mechanical_Engineering_19,2,1696x608 1760x576,1997,2178
validation_Mechanical_Engineering_20,1,1760x576,990,1193
validation_Mechanical_Engineering_21,1,960x1056,990,1203
validation_Mechanical_Engineering_22,1,1312x800,1025,1230
validation_Mechanical_Engineering_23,1,1280x800,1000,1144
validation_Mechanical_Engineering_24,1,1792x576,1008,1163
validation_Mechanical_Engineering_25,1,1376x768,1032,1230
validation_Mechanical_Engineering_26,1,1824x576,1026,1081
validation_Mechanical_Engineering_27,1,1312x800,1025,1136
validation_Mechanical_Engineering_28,1,1600x640,1000,1076
validation_Mechanical_Engineering_29,1,896x1184,1036,1315
validation_Mechanical_Engineering_30,1,1568x672,1029,1079
validation_Music_1,5,832x1248 1440x736 1280x800 1248x832 1376x768,5095,5170
validation_Music_2,1,2560x416,1040,1081
validation_Music_3,1,1856x576,1044,1096
validation_Music_4,1,2624x416,1066,1135
validation_Music_5,1,3232x320,1010,1051
validation_Music_6,1,1984x544,1054,1118
validation_Music_7,1,2112x512,1056,1121
validation_Music_8,1,1216x864,1026,1087
validation_Music_9,1,2400x448,1050,1122
validation_Music_10,1,1760x576,990,1041
validation_Music_11,1,1632x640,1020,1086
validation_Music_12,1,1632x1280,2040,2093
validation_Music_13,1,2944x512,1472,1527
validation_Music_14,1,992x1056,1023,1084
validation_Music_15,1,1600x640,1000,1052
validation_Music_16,4,1952x544 2208x480 1568x672 1280x832,4141,4214
validation_Music_17,1,2944x352,1012,1074
validation_Music_18,1,1536x672,1008,1082
validation_Music_19,1,2976x352,1023,1085
validation_Music_20,1,2624x416,1066,1125
validation_Music_21,2,1568x2048 1600x1536,5536,5627
validation_Music_22,1,1472x704,1012,1090
validation_Music_23,2,3008x352 1568x672,2063,2122
validation_Music_24,1,2368x544,1258,1324
validation_Music_25,1,1568x672,1029,1081
validation_Music_26,1,1664x608,988,1033
validation_Music_27,1,2592x416,1053,1116
validation_Music_28,1,1664x608,988,1050
validation_Music_29,2,1600x1280 2720x384,3020,3076
validation_Music_30,1,3424x320,1070,1135
validation_Pharmacy_1,1,2816x384,1056,1224
validation_Pharmacy_2,1,1856x576,1044,1206
validation_Pharmacy_3,1,1280x800,1000,1048
validation_Pharmacy_4,2,992x1056 1504x672,2010,2110
validation_Pharmacy_5,1,3136x352,1078,1187
validation_Pharmacy_6,1,3328x320,1040,1110
validation_Pharmacy_7,1,1600x640,1000,1075
validation_Pharmacy_8,1,1120x928,1015,1083
validation_Pharmacy_9,1,1152x896,1008,1067
validation_Pharmacy_10,1,1152x896,1008,1079
validation_Pharmacy_11,1,1120x928,1015,1079
validation_Pharmacy_12,1,1248x832,1014,1095
validation_Pharmacy_13,1,1216x928,1102,1197
validation_Pharmacy_14,1,1152x896,1008,1087
validation_Pharmacy_15,1,1152x896,1008,1071
validation_Pharmacy_16,1,1120x928,1015,1115
validation_Pharmacy_17,1,1056x992,1023,1087
validation_Pharmacy_18,3,992x1024 1024x1024 1056x960,3006,3088
validation_Pharmacy_19,1,1536x672,1008,1038
validation_Pharmacy_20,1,1088x960,1020,1185
validation_Pharmacy_21,1,1248x832,1014,1113
validation_Pharmacy_22,3,1472x704 1088x960 1216x864,3058,3143
validation_Pharmacy_23,1,1984x544,1054,1195
validation_Pharmacy_24,1,1312x800,1025,1091
validation_Pharmacy_25,1,1824x576,1026,1250
validation_Pharmacy_26,1,1216x928,1102,1183
validation_Pharmacy_27,1,1056x992,1023,1238
validation_Pharmacy_28,1,1088x960,1020,1117
validation_Pharmacy_29,1,1568x672,1029,1096
validation_Pharmacy_30,1,704x1504,1034,1266
validation_Physics_1,1,1024x992,992,1103
validation_Physics_2,1,1184x896,1036,1188
validation_Physics_3,1,1440x736,1035,1145
validation_Physics_4,1,1184x896,1036,1137
validation_Physics_5,1,3168x320,990,1089
validation_Physics_6,1,1824x576,1026,1158
validation_Physics_7,1,1216x832,988,1099
validation_Physics_8,1,1632x640,1020,1149
validation_Physics_9,1,1216x864,1026,1141
validation_Physics_10,1,1472x704,1012,1202
validation_Physics_11,1,1376x736,989,1097
validation_Physics_12,1,1536x672,1008,1150
validation_Physics_13,1,1536x672,1008,1103
validation_Physics_14,1,1472x704,1012,1132
validation_Physics_15,1,1184x896,1036,1171
validation_Physics_16,1,1056x992,1023,1138
validation_Physics_17,1,1856x576,1044,1111
validation_Physics_18,1,1440x704,990,1095
validation_Physics_19,1,2144x480,1005,1075
validation_Physics_20,1,1184x896,1036,1149
validation_Physics_21,1,1120x928,1015,1069
validation_Physics_22,1,1088x960,1020,1122
validation_Physics_23,1,1088x928,986,1131
validation_Physics_24,1,2112x512,1056,1116
validation_Physics_25,1,1888x544,1003,1104
validation_Physics_26,1,1312x800,1025,1100
validation_Physics_27,1,1184x864,999,1097
validation_Physics_28,1,1824x576,1026,1124
validation_Physics_29,1,1344x768,1008,1083
validation_Physics_30,1,1504x672,987,1073
validation_Psychology_1,5,1216x864 1216x832 1216x832 1216x832 1216x832,4978,5058
validation_Psychology_2,1,960x1088,1020,1250
validation_Psychology_3,1,1344x768,1008,1092
validation_Psychology_4,1,2272x448,994,1094
validation_Psychology_5,1,1120x928,1015,1085
validation_Psychology_6,1,1248x832,1014,1088
validation_Psychology_7,1,1216x864,1026,1105
validation_Psychology_8,1,1152x896,1008,1075
validation_Psychology_9,1,992x1056,1023,1099
validation_Psychology_10,1,1088x928,986,1133
validation_Psychology_11,1,1280x800,1000,1550
validation_Psychology_12,1,1312x800,1025,1506
validation_Psychology_13,1,896x1152,1008,1072
validation_Psychology_14,1,1312x800,1025,1558
validation_Psychology_15,1,1056x992,1023,1094
validation_Psychology_16,1,1216x928,1102,1361
validation_Psychology_17,5,1184x864 1216x864 1216x864 1216x864 1216x864,5103,5184
validation_Psychology_18,1,1728x608,1026,1353
validation_Psychology_19,1,960x1056,990,1204
validation_Psychology_20,1,1344x768,1008,1039
validation_Psychology_21,2,1344x864 1440x992,2529,2803
validation_Psychology_22,1,1056x1280,1320,1847
validation_Psychology_23,1,1312x800,1025,1555
validation_Psychology_24,1,1152x896,1008,1075
validation_Psychology_25,1,1504x704,1034,1383
validation_Psychology_26,1,1344x768,1008,1378
validation_Psychology_27,1,1280x800,1000,1207
validation_Psychology_28,1,1152x896,1008,1094
validation_Psychology_29,1,1504x704,1034,1467
validation_Psychology_30,5,1152x896 1152x896 1152x896 1152x896 1152x896,5040,5133
validation_Public_Health_1,1,2656x384,996,1121
validation_Public_Health_2,1,2272x448,994,1223
validation_Public_Health_3,1,2656x384,996,1117
validation_Public_Health_4,1,1216x864,1026,1085
validation_Public_Health_5,1,2400x448,1050,1176
validation_Public_Health_6,1,3104x352,1067,1194
validation_Public_Health_7,1,2080x512,1040,1195
validation_Public_Health_8,1,1696x608,1007,1267
validation_Public_Health_9,1,1984x512,992,1156
validation_Public_Health_10,1,2272x448,994,1115
validation_Public_Health_11,1,2304x448,1008,1080
validation_Public_Health_12,1,2272x448,994,1074
validation_Public_Health_13,1,1664x640,1040,1112
validation_Public_Health_14,1,2336x448,1022,1094
validation_Public_Health_15,1,1696x608,1007,1118
validation_Public_Health_16,1,1664x640,1040,1301
validation_Public_Health_17,1,2304x448,1008,1142
validation_Public_Health_18,1,1376x768,1032,1093
validation_Public_Health_19,1,2656x384,996,1164
validation_Public_Health_20,1,2272x448,994,1092
validation_Public_Health_21,1,1984x512,992,1251
validation_Public_Health_22,1,1440x736,1035,1168
validation_Public_Health_23,1,1856x576,1044,1138
validation_Public_Health_24,1,1248x832,1014,1146
validation_Public_Health_25,1,2272x448,994,1074
validation_Public_Health_26,1,1824x576,1026,1557
validation_Public_Health_27,1,1376x736,989,1058
validation_Public_Health_28,1,1792x576,1008,1224
validation_Public_Health_29,1,2176x480,1020,1155
validation_Public_Health_30,1,1984x512,992,1155
validation_Sociology_1,1,992x1248,1209,1298
validation_Sociology_2,1,1344x768,1008,1074
validation_Sociology_3,1,960x1088,1020,1115
validation_Sociology_4,1,896x1152,1008,1065
validation_Sociology_5,1,1280x800,1000,1090
validation_Sociology_6,1,1248x832,1014,1107
validation_Sociology_7,1,1344x768,1008,1094
validation_Sociology_8,1,1408x736,1012,1078
validation_Sociology_9,1,1312x800,1025,1148
validation_Sociology_10,1,1248x1024,1248,1311
validation_Sociology_11,1,1056x992,1023,1085
validation_Sociology_12,1,960x1088,1020,1082
validation_Sociology_13,1,1088x960,1020,1072
validation_Sociology_14,1,1216x992,1178,1268
validation_Sociology_15,1,1280x864,1080,1141
validation_Sociology_16,1,864x1184,999,1067
validation_Sociology_17,1,1056x1216,1254,1385
validation_Sociology_18,1,832x1248,1014,1214
validation_Sociology_19,1,1472x704,1012,1069
validation_Sociology_20,1,832x1248,1014,1082
validation_Sociology_21,1,1664x1024,1664,1745
validation_Sociology_22,1,1184x864,999,1052
validation_Sociology_23,1,1184x896,1036,1102
validation_Sociology_24,1,1184x896,1036,1151
validation_Sociology_25,1,1600x832,1300,1425
validation_Sociology_26,1,1696x864,1431,1513
validation_Sociology_27,1,1920x544,1020,1103
validation_Sociology_28,1,1216x864,1026,1108
validation_Sociology_29,1,1280x1184,1480,1587
validation_Sociology_30,1,1440x704,990,1058
